Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS
SD,6,2017-07-18T01:02:00Z,3,CMP 257,2.76,8.19,74.4,0.832,0.591,0.551,3.59,2.7,0.66,0.03,2.01,12.3,69.3,11,257,2017-07-18T01:00:00Z
SD,7,2017-07-18T02:02:00Z,3,CMP 258,2.33,8.17,63.9,0.703,0.537,0.502,2.83,2.43,0.56,0.01,1.85,12.5,59.5,10.2,258,2017-07-18T02:00:00Z
SD,8,2017-07-18T03:02:00Z,3,CMP 259,2.78,8.11,80.7,0.62,0.46,0.42,2.38,2.08,0.5,0.01,1.58,11.8,79.5,12.8,259,2017-07-18T03:00:00Z
SD,9,2017-07-18T04:02:00Z,3,CMP 260,2.88,8.04,78,0.601,0.393,0.308,2.08,1.76,0.5,0.01,1.25,11.6,75,13.3,260,2017-07-18T04:00:00Z
SD,10,2017-07-18T05:02:00Z,3,CMP 261,2.94,7.92,59.4,0.509,0.325,0.289,1.99,1.56,0.46,0.01,1.08,10.8,39.8,4.9,261,2017-07-18T05:00:00Z
SD,11,2017-07-18T06:02:00Z,3,CMP 262,2.98,7.8,63.1,0.454,0.282,0.234,1.75,1.46,0.55,0,0.91,12.6,57.2,10.4,262,2017-07-18T06:00:00Z
SD,12,2017-07-17T07:02:00Z,3,CMP 263,2.96,7.95,64.3,0.481,0.313,0.276,1.72,1.52,0.48,0.01,1.03,9.8,60.2,10.8,263,2017-07-17T07:00:00Z
SD,13,2017-07-17T08:02:00Z,3,CMP 264,2.87,7.85,59.6,0.592,0.368,0.325,2.06,1.74,0.57,0.01,1.17,11.1,53.7,9.7,264,2017-07-17T08:00:00Z
SD,14,2017-07-17T09:02:00Z,3,CMP 265,2.81,8.03,68.7,0.62,0.43,0.382,2.15,2.02,0.54,0.01,1.47,10.8,58,8.6,265,2017-07-17T09:00:00Z
SD,15,2017-07-17T10:02:00Z,3,CMP 266,2.83,7.98,69.8,0.721,0.499,0.463,3.11,2.33,0.61,0.01,1.71,12.4,64.5,9.5,266,2017-07-17T10:00:00Z
SD,16,2017-07-17T11:02:00Z,3,CMP 267,2.86,7.98,74,0.776,0.528,0.483,3.11,2.4,0.6,0.01,1.79,13.1,68.7,9.8,267,2017-07-17T11:00:00Z
SD,17,2017-07-17T12:02:00Z,3,CMP 268,2.89,8.04,92.9,0.795,0.491,0.454,3.02,2.4,0.7,0.03,1.67,13.4,94.5,13.4,268,2017-07-17T12:00:00Z
SD,18,2017-07-17T13:02:00Z,3,CMP 269,2.9,8.06,98.6,0.73,0.491,0.43,2.9,2.11,0.58,0.04,1.49,14,93.8,12.9,269,2017-07-17T13:00:00Z
SD,19,2017-07-17T14:02:00Z,3,CMP 270,2.97,7.96,169,0.887,0.424,0.373,2.38,1.82,0.64,0.02,1.16,14.7,144.7,19,270,2017-07-17T14:00:00Z
SD,20,2017-07-17T15:02:00Z,3,CMP 271,3.02,7.86,168,0.924,0.38,0.341,2.22,1.64,0.67,0.01,0.96,15.9,151.6,20.5,271,2017-07-17T15:00:00Z
SD,21,2017-07-17T16:02:00Z,3,CMP 272,2.82,8.28,134,0.97,0.626,0.587,2.9,2.69,0.55,0.01,2.13,13.2,121.4,17.4,272,2017-07-17T16:00:00Z
SD,22,2017-07-17T17:02:00Z,3,CMP 273,2.84,8.3,161,0.951,0.553,0.516,2.83,2.6,0.58,0.04,1.98,12.1,158.5,18.5,273,2017-07-17T17:00:00Z
SD,23,2017-07-17T18:02:00Z,3,CMP 274,2.8,8.27,120,0.758,0.491,0.456,2.72,2.22,0.55,0.01,1.66,11.3,108,14.8,274,2017-07-17T18:00:00Z
SD,24,2017-07-17T19:02:00Z,3,CMP 275,2.85,8.27,129,0.737,0.438,0.389,2.35,1.97,0.48,0.02,1.47,11,111.1,15.5,275,2017-07-17T19:00:00Z
SD,1,2017-07-25T16:20:00Z,4,CMP 444,3.37,8.13,120,0.822,0.487,0.47,1.98,1.26,0.91,0.06,0.29,11.4,99.5,17.8,444,2017-07-25T16:15:00Z
SD,2,2017-07-25T17:20:00Z,4,CMP 445,3.33,8.16,112,0.822,0.456,0.447,2.21,1.31,1,0.04,0.27,11.8,84.3,13,445,2017-07-25T17:15:00Z
SD,3,2017-07-25T18:20:00Z,4,CMP 446,3.36,8.24,125,0.822,0.469,0.456,2.28,1.31,1.01,0.04,0.26,12.6,100.3,16.3,446,2017-07-25T18:15:00Z
SD,4,2017-07-25T19:20:00Z,4,CMP 447,3.39,8.12,115,0.821,0.438,0.425,2.35,1.21,0.99,0,0.22,12.8,94.5,11.9,447,2017-07-25T19:15:00Z
SD,5,2017-07-25T20:20:00Z,4,CMP 448,3.37,8.13,165,0.942,0.462,0.425,2.4,1.18,0.9,0.03,0.25,12.2,130.9,15.7,448,2017-07-25T20:15:00Z
SD,6,2017-07-25T21:20:00Z,4,CMP 449,3.42,8.17,185,0.951,0.505,0.456,2.72,1.18,0.86,0.01,0.31,11,147.9,19.4,449,2017-07-25T21:15:00Z
SD,7,2017-07-25T22:20:00Z,4,CMP 450,3.67,8.14,233,0.996,0.471,0.413,2.31,1.05,0.76,0.01,0.28,10.2,173.2,23.1,450,2017-07-25T22:15:00Z
SD,8,2017-07-25T23:20:00Z,4,CMP 451,4.22,8.07,205,0.821,0.353,0.332,1.66,0.74,0.53,0.01,0.21,9.3,187.7,24.6,451,2017-07-25T23:15:00Z
SD,9,2017-07-26T00:20:00Z,4,CMP 452,4.6,8,126,0.601,0.298,0.276,1.32,0.67,0.47,0.02,0.18,8.6,114.6,16.2,452,2017-07-26T00:15:00Z
SD,10,2017-07-26T01:20:00Z,4,CMP 453,4.72,7.98,130,0.564,0.262,0.247,0.97,0.61,0.42,0.02,0.17,8.1,103.4,14,453,2017-07-26T01:15:00Z
SD,11,2017-07-26T02:20:00Z,4,CMP 454,4.52,7.96,88.1,0.537,0.296,0.259,1.18,0.67,0.49,0,0.18,8.6,83.9,11.7,454,2017-07-26T02:15:00Z
SD,12,2017-07-26T03:20:00Z,4,CMP 455,3.86,8.14,83.1,0.62,0.413,0.284,1.85,0.95,0.7,0,0.25,10,78,13.6,455,2017-07-26T03:15:00Z
SD,13,2017-07-26T04:20:00Z,4,CMP 456,3.59,8.16,96.1,0.721,0.45,0.406,1.98,1.21,0.92,0.01,0.28,10.8,93.5,13,456,2017-07-26T04:15:00Z
SD,14,2017-07-26T05:20:00Z,4,CMP 457,3.49,8.18,91.9,0.703,0.53,0.467,2.24,1.24,0.94,0,0.29,12,93,11.6,457,2017-07-26T05:15:00Z
SD,15,2017-07-26T06:20:00Z,4,CMP 458,3.48,8.13,117,0.859,0.498,0.486,2.63,1.23,0.94,0.01,0.28,11.8,110.4,15.9,458,2017-07-26T06:15:00Z
SD,16,2017-07-25T07:20:00Z,4,CMP 459,3.49,8.12,84.1,0.749,0.509,0.495,2.35,1.21,0.91,0.01,0.29,11.6,80.4,13.2,459,2017-07-25T07:15:00Z
SD,17,2017-07-25T08:20:00Z,4,CMP 460,3.62,8.14,104,0.822,0.511,0.494,2.35,1.19,0.89,0.02,0.28,10.9,93.7,14.8,460,2017-07-25T08:15:00Z
SD,18,2017-07-25T09:20:00Z,4,CMP 461,4.07,8.11,140,0.721,0.37,0.366,1.48,0.89,0.63,0.03,0.23,10.1,122,17.4,461,2017-07-25T09:15:00Z
SD,19,2017-07-25T10:20:00Z,4,CMP 462,4.68,8.03,152,0.601,0.272,0.265,1.23,0.67,0.48,0.01,0.18,8.6,145,19.4,462,2017-07-25T10:15:00Z
SD,20,2017-07-25T11:20:00Z,4,CMP 463,5.16,7.93,126,0.481,0.241,0.217,1.04,0.68,0.51,0.01,0.15,7.7,111.9,14.3,463,2017-07-25T11:15:00Z
SD,21,2017-07-25T12:20:00Z,4,CMP 464,5.29,7.89,94.2,0.445,0.235,0.218,0.77,0.59,0.45,0,0.14,7.4,88.7,12.8,464,2017-07-25T12:15:00Z
SD,22,2017-07-25T13:20:00Z,4,CMP 465,5.04,8,110,0.601,0.247,0.214,1,0.68,0.49,0.03,0.16,8.1,102,13.2,465,2017-07-25T13:15:00Z
SD,23,2017-07-25T14:20:00Z,4,CMP 466,4.25,8.01,84.4,0.574,0.303,0.255,1.59,0.78,0.53,0.04,0.21,9.5,79.9,10.3,466,2017-07-25T14:15:00Z
SD,24,2017-07-25T15:20:00Z,4,CMP 467,3.77,8.05,94.8,0.712,0.362,0.338,2.1,0.91,0.63,0.02,0.27,10.6,81.3,11.6,467,2017-07-25T15:15:00Z
SD,1,2017-08-23T22:00:00Z,5,CMP 564,7.36,8.21,174,0.848,0.368,0.355,1.99,1.55,0.53,0,1.02,9.3,147.3,17.2,564,2017-08-23T22:00:00Z
SD,2,2017-08-23T23:00:00Z,5,CMP 565,7.92,8.24,158,0.693,0.307,0.268,1.61,1.32,0.49,0,0.83,8.2,146.4,14.5,565,2017-08-23T23:00:00Z
SD,3,2017-08-24T00:00:00Z,5,CMP 566,8.21,8.15,97.3,0.518,0.252,0.226,1.36,1.2,0.47,0,0.73,8.3,86.1,9.3,566,2017-08-24T00:00:00Z
SD,4,2017-08-24T01:00:00Z,5,CMP 567,7.69,8.27,60.7,0.579,0.35,0.329,1.67,1.44,0.49,0,0.94,8.7,60.8,8.1,567,2017-08-24T01:00:00Z
SD,5,2017-08-24T02:00:00Z,5,CMP 568,7.37,8.29,68.1,0.561,0.399,0.361,1.75,1.66,0.59,0,1.06,10.1,51.6,8.2,568,2017-08-24T02:00:00Z
SD,6,2017-08-24T03:00:00Z,5,CMP 569,7.25,8.3,81.2,0.616,0.418,0.385,1.86,1.7,0.57,0,1.12,10.6,62.6,9.7,569,2017-08-24T03:00:00Z
SD,7,2017-08-24T04:00:00Z,5,CMP 570,6.82,8.32,66.9,0.702,0.485,0.451,2.01,1.8,0.53,0,1.27,10.4,62.5,7.2,570,2017-08-24T04:00:00Z
SD,8,2017-08-24T05:00:00Z,5,CMP 571,6.68,8.37,70.9,0.739,0.553,0.465,2.19,1.92,0.61,0,1.3,10.6,60.4,6.2,571,2017-08-24T05:00:00Z
SD,9,2017-08-24T06:00:00Z,5,CMP 572,6.67,8.33,74.9,0.751,0.522,0.457,2.19,1.85,0.59,0.01,1.25,11.2,66.3,7.1,572,2017-08-24T06:00:00Z
SD,10,2017-08-23T07:00:00Z,5,CMP 573,6.68,8.33,64.9,0.702,0.516,0.463,2.08,1.82,0.55,0.01,1.26,10.7,57,6.6,573,2017-08-23T07:00:00Z
SD,11,2017-08-23T08:00:00Z,5,CMP 574,6.71,8.34,81.5,0.794,0.527,0.495,2.24,1.98,0.58,0,1.4,10.5,78.2,7.5,574,2017-08-23T08:00:00Z
SD,12,2017-08-23T09:00:00Z,5,CMP 575,7.22,8.34,109,0.726,0.43,0.394,1.9,1.74,0.57,0.01,1.16,10.2,99.6,10.2,575,2017-08-23T09:00:00Z
SD,13,2017-08-23T10:00:00Z,5,CMP 576,7.73,8.21,142,0.69,0.332,0.307,1.68,1.49,0.56,0.01,0.92,8.1,115.7,11.7,576,2017-08-23T10:00:00Z
SD,14,2017-08-23T11:00:00Z,5,CMP 577,8.13,8.17,118,0.561,0.264,0.248,1.41,1.28,0.52,0,0.76,7.3,105.3,10.7,577,2017-08-23T11:00:00Z
SD,15,2017-08-23T12:00:00Z,5,CMP 578,7.99,8.15,62.3,0.456,0.295,0.269,1.38,1.29,0.5,0.01,0.77,7.7,60.1,5.3,578,2017-08-23T12:00:00Z
SD,16,2017-08-23T13:00:00Z,5,CMP 579,7.68,8.21,55.8,0.511,0.35,0.316,1.57,1.46,0.51,0.01,0.94,8.4,51.9,6,579,2017-08-23T13:00:00Z
SD,17,2017-08-23T14:00:00Z,5,CMP 580,7.03,8.2,58.4,0.536,0.368,0.332,1.67,1.51,0.51,0.02,0.98,8.4,55.9,5.8,580,2017-08-23T14:00:00Z
SD,18,2017-08-23T15:00:00Z,5,CMP 581,6.77,8.23,70.3,0.673,0.418,0.411,2.05,1.7,0.47,0.02,1.21,9.5,69.3,8.6,581,2017-08-23T15:00:00Z
SD,19,2017-08-23T16:00:00Z,5,CMP 582,6.71,8.23,76,0.738,0.498,0.451,2.2,1.84,0.54,0.02,1.28,10.1,75.5,8.2,582,2017-08-23T16:00:00Z
SD,20,2017-08-23T17:00:00Z,5,CMP 583,6.69,8.26,77.8,0.722,0.461,0.424,2.11,1.73,0.56,0.02,1.15,11.1,74.5,8.1,583,2017-08-23T17:00:00Z
SD,21,2017-08-23T18:00:00Z,5,CMP 584,6.71,8.25,97.8,0.726,0.473,0.414,2.02,1.76,0.66,0.02,1.08,11.1,90.5,10,584,2017-08-23T18:00:00Z
SD,22,2017-08-23T19:00:00Z,5,CMP 585,6.74,8.2,104,0.739,0.455,0.399,1.98,1.63,0.66,0,0.96,11.3,98.7,11.7,585,2017-08-23T19:00:00Z
SD,23,2017-08-23T20:00:00Z,5,CMP 586,6.74,8.2,107,0.763,0.455,0.397,1.98,1.66,0.69,0,0.97,11.6,94.5,10.5,586,2017-08-23T20:00:00Z
SD,24,2017-08-23T21:00:00Z,5,CMP 587,6.63,8.21,130,0.908,0.553,0.494,2.33,2.1,0.61,0.1,1.39,10.5,116.8,11.8,587,2017-08-23T21:00:00Z
SD,1,2017-08-28T17:29:00Z,6,CMP 612,7.17,8.23,63.4,0.622,0.338,0.272,1.95,1.78,0.63,0.02,1.13,9,53.8,8.3,612,2017-08-28T17:30:00Z
SD,2,2017-08-28T18:29:00Z,6,CMP 613,7.21,8.28,59.1,0.579,0.355,0.339,2.19,1.91,0.69,0.02,1.2,8.6,55.6,6.3,613,2017-08-28T18:30:00Z
SD,3,2017-08-28T19:29:00Z,6,CMP 614,7.07,8.3,66.9,0.64,0.362,0.296,2.03,1.9,0.66,0.02,1.22,9.1,61.8,7,614,2017-08-28T19:30:00Z
SD,4,2017-08-28T20:29:00Z,6,CMP 615,7.02,8.23,88.1,0.658,0.369,0.321,2.06,1.87,0.59,0.01,1.27,9.2,61.8,7.7,615,2017-08-28T20:30:00Z
SD,5,2017-08-28T21:29:00Z,6,CMP 616,7.16,8.25,87.7,0.653,0.367,0.302,1.99,1.9,0.65,0.03,1.22,9.5,61.1,6.8,616,2017-08-28T21:30:00Z
SD,6,2017-08-28T22:29:00Z,6,CMP 617,7.23,8.28,66.2,0.616,0.369,0.312,1.98,1.85,0.62,0.02,1.2,8.6,61.5,8.4,617,2017-08-28T22:30:00Z
SD,7,2017-08-28T23:29:00Z,6,CMP 618,7.44,8.28,73.8,0.585,0.327,0.272,1.84,1.72,0.57,0.02,1.13,8.1,59.9,9.3,618,2017-08-28T23:30:00Z
SD,8,2017-08-29T00:29:00Z,6,CMP 619,7.63,8.25,68.8,0.539,0.288,0.235,1.75,1.59,0.53,0.02,1.03,7.6,54.8,8.9,619,2017-08-29T00:30:00Z
SD,9,2017-08-29T01:29:00Z,6,CMP 620,7.94,8.22,61.9,0.444,0.225,0.198,1.59,1.41,0.53,0.01,0.86,7.1,45.7,7.3,620,2017-08-29T01:30:00Z
SD,10,2017-08-29T02:29:00Z,6,CMP 621,8.14,8.23,89.5,0.499,0.204,0.155,1.51,1.39,0.59,0,0.8,6.7,76.5,11.3,621,2017-08-29T02:30:00Z
SD,11,2017-08-29T03:29:00Z,6,CMP 622,8.08,8.18,42.2,0.382,0.205,0.18,1.53,1.31,0.49,0.01,0.81,7.8,35.6,5.1,622,2017-08-29T03:30:00Z
SD,12,2017-08-29T04:29:00Z,6,CMP 623,7.92,8.25,47.8,0.444,0.231,0.21,1.63,1.44,0.56,0,0.87,7.1,39,5.7,623,2017-08-29T04:30:00Z
SD,13,2017-08-29T05:29:00Z,6,CMP 624,7.62,8.25,33.9,0.481,0.282,0.253,1.8,1.62,0.61,0,1.01,7.6,27.5,5.1,624,2017-08-29T05:30:00Z
SD,14,2017-08-29T06:29:00Z,6,CMP 625,7.48,8.23,37.6,0.468,0.299,0.241,1.76,1.55,0.51,0,1.04,7.8,28.9,5,625,2017-08-29T06:30:00Z
SD,15,2017-08-28T07:29:00Z,6,CMP 626,7.26,8.28,30.8,0.493,0.332,0.306,1.94,1.8,0.66,0,1.13,8.4,25.5,4.2,626,2017-08-28T07:30:00Z
SD,16,2017-08-28T08:29:00Z,6,CMP 627,7.17,8.24,38,0.548,0.36,0.339,1.98,1.73,0.57,0.01,1.15,8.5,31.8,5.3,627,2017-08-28T08:30:00Z
SD,17,2017-08-28T09:29:00Z,6,CMP 628,7.12,8.23,47.1,0.578,0.346,0.278,2.24,1.81,0.64,0.01,1.16,8.6,44.9,6.1,628,2017-08-28T09:30:00Z
SD,18,2017-08-28T10:29:00Z,6,CMP 629,7.09,8.25,47.9,0.596,0.347,0.309,2.17,1.91,0.74,0.03,1.15,9,46.9,6,629,2017-08-28T10:30:00Z
SD,19,2017-08-28T11:29:00Z,6,CMP 630,7.09,8.2,47.4,0.585,0.346,0.278,2.09,1.84,0.69,0.02,1.13,9.1,47,5.2,630,2017-08-28T11:30:00Z
SD,20,2017-08-28T12:29:00Z,6,CMP 631,7.86,8.27,39,0.69,0.456,0.377,2.15,1.93,0.53,0.01,1.39,9,36.3,5.1,631,2017-08-28T12:30:00Z
SD,21,2017-08-28T13:29:00Z,6,CMP 632,7.04,8.25,48.8,0.616,0.413,0.347,2.23,1.85,0.52,0,1.33,8.7,47.2,8,632,2017-08-28T13:30:00Z
